device,t,w,h,p1,p25,p10
DeviceB,"21/03/19,18:59:32",0,SW,28,0,146
DeviceB,"21/03/19,19:06:13",6,W,21,48,193
DeviceB,"21/03/19,19:12:54",0,SW,18,42,47
DeviceB,"21/03/19,19:19:35",0,W,11,40,27
DeviceB,"21/03/19,19:26:16",0,E,18,27,12
DeviceB,"21/03/19,19:34:20",3,N,55,16,28
DeviceB,"21/03/19,19:41:01",1,NW,24,82,21
DeviceB,"21/03/19,19:47:42",2,W,10,68,47
DeviceB,"21/03/19,19:54:23",1,W,12,45,14
DeviceB,"21/03/19,20:01:04",1,SW,19,21,29
DeviceB,"21/03/19,20:07:45",3,W,73,24,8
DeviceB,"21/03/19,20:14:26",2,NW,8,107,36
DeviceB,"21/03/19,20:21:07",6,W,30,37,19
DeviceB,"21/03/19,20:27:48",6,W,34,6173,106
DeviceB,"21/03/19,20:34:29",1,W,24,17,61
DeviceB,"21/03/19,20:41:09",1,NW,8,42,72
DeviceB,"21/03/19,20:47:50",1,SW,22,16,47
DeviceB,"21/03/19,20:54:31",1,NW,24,10,27
DeviceB,"21/03/19,21:01:12",13,NW,39,0,48
DeviceB,"21/03/19,21:09:16",0,SE,35,16,12
DeviceB,"21/03/19,21:15:57",3,E,17,33,27
DeviceB,"21/03/19,21:22:38",0,SE,67,25,11
DeviceB,"21/03/19,21:29:19",8,SW,31,158,8
DeviceB,"21/03/19,21:36:00",4,W,19,14,45
DeviceB,"21/03/19,21:42:41",6,E,75,26,48
DeviceB,"21/03/19,21:49:22",2,NW,63,33,27
DeviceB,"21/03/19,21:56:03",3,E,5,55,95
DeviceB,"21/03/19,22:02:44",4,W,54,23,15
DeviceB,"21/03/19,22:09:25",1,NW,23,0,24
DeviceB,"21/03/19,22:16:05",9,W,22,0,80
DeviceB,"21/03/19,22:22:46",1,W,8,0,47
DeviceB,"21/03/19,22:29:27",1,W,27,31,80
DeviceB,"21/03/19,22:36:08",2,W,14,70,61
DeviceB,"21/03/19,22:44:12",2,NW,37,47,31
DeviceB,"21/03/19,22:50:52",8,NW,11,23,10
DeviceB,"21/03/19,22:57:33",1,E,70,85,121
DeviceB,"21/03/19,23:04:14",2,W,28,52,31
DeviceB,"21/03/19,23:10:55",0,SW,26,60,98
DeviceB,"21/03/19,23:17:36",3,NW,44,13,60
DeviceB,"21/03/19,23:24:17",9,E,24,50,100
DeviceB,"21/03/19,23:30:58",1,SE,22,35,59
DeviceB,"21/03/19,23:37:39",2,W,31,49,39
DeviceB,"21/03/19,23:44:19",0,NW,24,28,75
DeviceB,"21/03/19,23:51:00",3,W,69,77,12
DeviceB,"21/03/19,23:57:41",3,W,11,66,27
DeviceB,"21/03/20,00:04:22",3,W,21,32,44
DeviceB,"21/03/20,00:11:03",0,NW,21,33,13
DeviceB,"21/03/20,00:19:06",0,W,27,26,44
DeviceB,"21/03/20,00:25:47",4,W,17,62,25
DeviceB,"21/03/20,00:32:28",3,E,20,27,133
DeviceB,"21/03/20,00:39:09",2,NE,25,30,44
DeviceB,"21/03/20,00:45:50",3,E,40,111,100
DeviceB,"21/03/20,00:52:30",1,W,28,14,56
DeviceB,"21/03/20,00:59:11",4,S,17,48,78
DeviceB,"21/03/20,01:05:52",0,S,12,35,9
DeviceB,"21/03/20,01:12:33",0,W,6,0,117
DeviceB,"21/03/20,01:19:14",3,NW,28,4,20
DeviceB,"21/03/20,01:25:55",3,SW,55,7,19
DeviceB,"21/03/20,01:32:35",1,E,29,11,182
DeviceB,"21/03/20,01:39:16",2,W,17,45,54
DeviceB,"21/03/20,01:45:57",7,S,19,53,47
DeviceB,"21/03/20,01:54:00",3,NW,6,57,17
DeviceB,"21/03/20,02:00:41",2,E,21,7,8
DeviceB,"21/03/20,02:07:22",1,E,33,23,42
DeviceB,"21/03/20,02:14:03",4,NW,25,12,29
DeviceB,"21/03/20,02:20:44",2,NE,60,158,39
DeviceB,"21/03/20,02:27:25",0,E,50,46,20
DeviceB,"21/03/20,02:34:06",3,E,2,43,46
DeviceB,"21/03/20,02:40:47",6,SE,6,41,34
DeviceB,"21/03/20,02:47:28",1,W,18,26,121
DeviceB,"21/03/20,02:54:09",0,SW,22,24,9
DeviceB,"21/03/20,03:00:50",0,E,8,54,33
DeviceB,"21/03/20,03:07:32",1,E,67,26,41
DeviceB,"21/03/20,03:14:13",3,S,110,48,44
DeviceB,"21/03/20,03:20:54",2,W,25,18,135
DeviceB,"21/03/20,03:28:58",1,W,69,13,17
DeviceB,"21/03/20,03:35:39",3,SE,16,45,7
DeviceB,"21/03/20,03:42:20",4,W,7,18,45
DeviceB,"21/03/20,03:49:01",0,W,19,26,64
DeviceB,"21/03/20,03:55:43",2,NW,15,40,24
DeviceB,"21/03/20,04:02:24",3,W,19,35,56
DeviceB,"21/03/20,04:09:05",3,E,8,89,43
DeviceB,"21/03/20,04:15:46",3,NW,41,33,219
DeviceB,"21/03/20,04:22:28",4,E,7,29,131
DeviceB,"21/03/20,04:29:09",2,W,25,19,83
DeviceB,"21/03/20,04:35:50",2,W,0,12,25
DeviceB,"21/03/20,04:42:32",2,W,22,23,44
DeviceB,"21/03/20,04:49:13",1,W,17,0,43
DeviceB,"21/03/20,04:55:54",1,W,26,23,58
DeviceB,"21/03/20,05:03:58",4,E,23,18,59
DeviceB,"21/03/20,05:10:40",2,N,17,97,22
DeviceB,"21/03/20,05:17:21",2,NW,28,25,31
DeviceB,"21/03/20,05:24:02",3,W,32,27,38
DeviceB,"21/03/20,05:30:44",2,W,29,6,108
DeviceB,"21/03/20,05:37:25",1,S,9,162,47
DeviceB,"21/03/20,05:44:07",3,W,14,28,17
DeviceB,"21/03/20,05:50:48",1,W,90,32,12
DeviceB,"21/03/20,05:57:29",0,SW,97,14,29
DeviceB,"21/03/20,06:04:11",12,W,26,21,41
DeviceB,"21/03/20,06:10:52",1,E,69,22,55
DeviceB,"21/03/20,06:17:34",4,SE,20,43,47
DeviceB,"21/03/20,06:24:15",0,E,37,14,15
DeviceB,"21/03/20,06:30:57",2,NW,50,7,41
DeviceB,"21/03/20,06:39:01",2,E,35,9,41
DeviceB,"21/03/20,06:45:42",3,S,12,46,17
DeviceB,"21/03/20,06:52:24",3,SW,14,38,20
DeviceB,"21/03/20,06:59:05",3,NW,16,180,17
DeviceB,"21/03/20,07:05:46",2,SE,18,18,87
DeviceB,"21/03/20,07:12:28",6,S,34,37,6
DeviceB,"21/03/20,07:19:09",1,W,21,33,37
DeviceB,"21/03/20,07:25:51",3,W,30,26,23
DeviceB,"21/03/20,07:32:32",6,W,0,11,59
DeviceB,"21/03/20,07:39:14",1,W,10,20,94
DeviceB,"21/03/20,07:45:55",2,E,22,67,25
DeviceB,"21/03/20,07:52:37",2,W,43,35,9
DeviceB,"21/03/20,07:59:18",1,W,6234,15,30
DeviceB,"21/03/20,08:06:00",0,SW,59,28,53
DeviceB,"21/03/20,08:14:04",1,E,30,13,60
DeviceB,"21/03/20,08:20:45",1,SE,8,29,207
DeviceB,"21/03/20,08:27:27",0,SW,5,26,166
DeviceB,"21/03/20,08:34:08",6,N,32,49,8
DeviceB,"21/03/20,08:40:50",0,W,7,65,15
DeviceB,"21/03/20,08:47:31",0,NW,21,7,45
DeviceB,"21/03/20,08:54:13",2,NW,33,44,39
DeviceB,"21/03/20,09:00:54",2,W,33,41,22
DeviceB,"21/03/20,09:07:36",1,NE,29,16,59
DeviceB,"21/03/20,09:14:17",13,W,52,42,42
DeviceB,"21/03/20,09:20:59",0,W,7,40,20
DeviceB,"21/03/20,09:27:40",1,SE,29,46,66
DeviceB,"21/03/20,09:34:22",2,W,25,65,82
DeviceB,"21/03/20,09:41:03",3,SE,12,32,48
DeviceB,"21/03/20,09:49:08",0,E,22,11,55
DeviceB,"21/03/20,09:55:49",3,SW,8,9,133
DeviceB,"21/03/20,10:02:31",2,W,24,21,19
DeviceB,"21/03/20,10:09:12",1,SE,25,13,142
DeviceB,"21/03/20,10:15:54",2,SE,6,47,58
DeviceB,"21/03/20,10:22:35",3,NW,20,150,44
DeviceB,"21/03/20,10:29:17",4,W,18,4,36
DeviceB,"21/03/20,10:35:58",13,W,22,25,184
DeviceB,"21/03/20,10:42:40",3,W,45,37,61
DeviceB,"21/03/20,10:49:21",3,W,28,16,36
DeviceB,"21/03/20,10:56:03",1,NW,26,10,11
DeviceB,"21/03/20,11:02:44",2,E,73,122,13
DeviceB,"21/03/20,11:09:25",3,NW,25,6273,16
DeviceB,"21/03/20,11:16:07",1,NW,26,19,21
DeviceB,"21/03/20,11:24:11",1,N,24,47,28
DeviceB,"21/03/20,11:30:52",0,SE,26,15,23
DeviceB,"21/03/20,11:37:34",2,S,28,44,136
DeviceB,"21/03/20,11:44:15",0,W,71,49,62
DeviceB,"21/03/20,11:50:57",1,NW,25,61,56
DeviceB,"21/03/20,11:57:38",4,NW,21,103,25
DeviceB,"21/03/20,12:04:20",2,W,29,45,21
DeviceB,"21/03/20,12:11:01",8,NW,12,43,50
DeviceB,"21/03/20,12:17:42",1,W,94,52,89
DeviceB,"21/03/20,12:31:37",4,W,66,11,15
DeviceB,"21/03/20,12:38:13",0,E,14,28,126
DeviceB,"21/03/20,12:44:48",0,W,12,20,18
DeviceB,"21/03/20,12:51:23",2,W,96,6150,16
DeviceB,"21/03/20,12:57:58",3,W,26,26,23
DeviceB,"21/03/20,13:04:34",0,W,25,47,34
DeviceB,"21/03/20,13:11:09",1,E,32,41,90
DeviceB,"21/03/20,13:17:44",3,W,22,33,83
DeviceB,"21/03/20,13:24:19",1,W,74,42,52
DeviceB,"21/03/20,13:30:54",0,W,94,43,51
DeviceB,"21/03/20,13:37:30",2,W,6289,13,0
DeviceB,"21/03/20,13:44:05",2,W,42,85,5996
DeviceB,"21/03/20,13:50:40",12,W,84,51,61
DeviceB,"21/03/20,13:58:38",0,W,20,80,70
DeviceB,"21/03/20,14:05:13",3,S,10,46,59
DeviceB,"21/03/20,14:11:48",8,W,12,99,35
DeviceB,"21/03/20,14:18:23",1,W,14,14,204
DeviceB,"21/03/20,14:24:58",6,NW,78,51,6003
DeviceB,"21/03/20,14:31:33",10,NW,27,47,83
DeviceB,"21/03/20,14:38:09",1,W,23,36,67
DeviceB,"21/03/20,14:44:44",3,SW,18,63,17
DeviceB,"21/03/20,14:51:19",3,E,26,43,67
DeviceB,"21/03/20,14:57:54",0,NW,19,91,0
DeviceB,"21/03/20,15:04:29",6,NW,35,30,20
DeviceB,"21/03/20,15:11:04",0,NW,68,31,49
DeviceB,"21/03/20,15:17:39",0,E,71,118,35
DeviceB,"21/03/20,15:24:14",2,NW,69,16,82
DeviceB,"21/03/20,15:32:12",9,W,72,6128,58
DeviceB,"21/03/20,15:38:47",0,W,40,30,34
DeviceB,"21/03/20,15:45:22",0,NW,61,93,36
DeviceB,"21/03/20,15:51:57",9,W,96,13,112
DeviceB,"21/03/20,15:58:32",0,E,6143,33,21
DeviceB,"21/03/20,16:05:07",3,NE,32,169,24
DeviceB,"21/03/20,16:11:42",4,W,24,111,66
DeviceB,"21/03/20,16:18:17",2,SW,30,16,22
DeviceB,"21/03/20,16:24:52",2,S,6135,156,25
DeviceB,"21/03/20,16:31:27",1,NW,2,140,54
DeviceB,"21/03/20,16:38:03",1,W,12,25,89
DeviceB,"21/03/20,16:44:38",6,W,13,150,79
DeviceB,"21/03/20,16:51:13",1,W,22,31,68
DeviceB,"21/03/20,16:57:48",0,SE,19,20,45
DeviceB,"21/03/20,17:05:45",1,NW,7,61,122
DeviceB,"21/03/20,17:12:20",2,W,9,28,70
DeviceB,"21/03/20,17:18:55",6,SW,0,25,62
DeviceB,"21/03/20,17:25:30",0,SW,65,14,18
DeviceB,"21/03/20,17:32:05",0,NW,28,13,166
DeviceB,"21/03/20,17:38:40",3,W,0,34,22
DeviceB,"21/03/20,17:45:15",0,W,28,153,285
DeviceB,"21/03/20,17:51:51",4,NW,59,16,191
DeviceB,"21/03/20,17:58:25",1,W,63,8,45
DeviceB,"21/03/20,18:05:00",2,NW,8,56,63
DeviceB,"21/03/20,18:11:36",2,W,25,31,43
DeviceB,"21/03/20,18:18:10",1,W,20,49,167
DeviceB,"21/03/20,18:24:45",3,W,55,30,78
DeviceB,"21/03/20,18:31:20",6,W,12,45,66
DeviceB,"21/03/20,18:39:18",4,S,19,124,66
DeviceB,"21/03/20,18:45:53",0,SE,5,8,64
DeviceB,"21/03/20,18:52:28",2,NW,18,25,8
DeviceB,"21/03/20,18:59:03",0,NW,0,27,20
DeviceB,"21/03/20,19:05:38",1,SW,33,34,98
DeviceB,"21/03/20,19:12:13",0,W,51,37,33
DeviceB,"21/03/20,19:18:48",3,W,22,28,30
DeviceB,"21/03/20,19:25:23",10,SE,25,20,8
DeviceB,"21/03/20,19:31:58",2,S,28,22,103
DeviceB,"21/03/20,19:38:33",4,W,33,9,54
DeviceB,"21/03/20,19:45:08",1,W,20,25,45
DeviceB,"21/03/20,19:51:43",0,W,22,23,87
DeviceB,"21/03/20,19:58:18",0,S,100,55,55
DeviceB,"21/03/20,20:04:53",3,E,23,203,59
DeviceB,"21/03/20,20:12:50",2,NW,29,30,25
DeviceB,"21/03/20,20:19:25",4,W,12,21,14
DeviceB,"21/03/20,20:26:00",2,W,19,12,59
DeviceB,"21/03/20,20:32:35",2,S,46,5883,8
DeviceB,"21/03/20,20:39:10",2,W,8,20,43
DeviceB,"21/03/20,20:45:45",1,W,20,14,40
DeviceB,"21/03/20,20:52:20",6,E,14,29,35
DeviceB,"21/03/20,20:58:55",14,W,26,17,108
DeviceB,"21/03/20,21:05:29",0,NW,24,26,86
DeviceB,"21/03/20,21:12:04",4,E,21,46,28
DeviceB,"21/03/20,21:18:39",2,W,4,25,56
DeviceB,"21/03/20,21:25:14",8,W,34,13,9
DeviceB,"21/03/20,21:31:49",0,W,29,7,13
DeviceB,"21/03/20,21:38:24",0,E,29,4,15
DeviceB,"21/03/20,21:46:21",9,E,28,66,12
DeviceB,"21/03/20,21:52:56",2,NW,18,80,28
DeviceB,"21/03/20,21:59:31",10,W,35,42,25
DeviceB,"21/03/20,22:06:06",1,E,25,79,10
DeviceB,"21/03/20,22:12:41",2,W,31,17,5
DeviceB,"21/03/20,22:19:16",1,W,19,33,30
DeviceB,"21/03/20,22:25:50",2,NW,14,13,31
DeviceB,"21/03/20,22:32:25",3,W,19,165,52
DeviceB,"21/03/20,22:39:00",1,W,18,24,193
DeviceB,"21/03/20,22:45:35",2,E,66,35,17
DeviceB,"21/03/20,22:52:10",2,E,23,22,17
DeviceB,"21/03/20,22:58:45",1,W,64,33,39
DeviceB,"21/03/20,23:05:19",1,NE,9,47,88
DeviceB,"21/03/20,23:11:54",3,W,52,91,36
DeviceB,"21/03/20,23:19:52",1,W,9,35,0
DeviceB,"21/03/20,23:26:27",4,SW,71,76,49
DeviceB,"21/03/20,23:33:01",1,SW,30,42,73
DeviceB,"21/03/20,23:39:36",1,SW,49,42,46
DeviceB,"21/03/20,23:46:11",2,W,15,43,8
DeviceB,"21/03/20,23:52:46",1,W,6,78,169
DeviceB,"21/03/20,23:59:21",2,SW,18,32,119
DeviceB,"21/03/21,00:05:56",0,E,25,35,64
DeviceB,"21/03/21,00:12:30",1,W,20,37,16
DeviceB,"21/03/21,00:19:05",2,NW,15,16,75
DeviceB,"21/03/21,00:25:40",2,SW,30,28,72
DeviceB,"21/03/21,00:32:15",2,W,38,11,17
DeviceB,"21/03/21,00:38:50",0,SW,91,49,56
DeviceB,"21/03/21,00:45:25",2,W,26,14,77
DeviceB,"21/03/21,00:53:22",0,W,6165,21,128
DeviceB,"21/03/21,00:59:57",1,E,22,38,4
DeviceB,"21/03/21,01:06:32",0,W,75,99,7
DeviceB,"21/03/21,01:13:06",0,SE,41,203,78
DeviceB,"21/03/21,01:19:41",0,SW,20,16,23
DeviceB,"21/03/21,01:26:16",1,SE,34,50,6076
DeviceB,"21/03/21,01:32:51",2,E,8,10,28
DeviceB,"21/03/21,01:39:26",1,NW,57,14,37
DeviceB,"21/03/21,01:46:01",0,W,98,62,29
DeviceB,"21/03/21,01:52:35",2,NW,112,45,76
DeviceB,"21/03/21,01:59:10",12,W,50,30,13
DeviceB,"21/03/21,02:05:45",4,W,17,56,36
DeviceB,"21/03/21,02:12:20",0,NW,69,18,87
DeviceB,"21/03/21,02:18:55",3,NW,18,115,73
DeviceB,"21/03/21,02:26:53",2,W,20,18,117
DeviceB,"21/03/21,02:33:28",4,SW,17,123,28
DeviceB,"21/03/21,02:40:03",2,SW,111,17,33
DeviceB,"21/03/21,02:46:38",3,W,11,24,23
DeviceB,"21/03/21,02:53:13",3,W,6,79,92
DeviceB,"21/03/21,02:59:48",3,W,85,37,90
DeviceB,"21/03/21,03:06:23",0,SE,24,11,68
DeviceB,"21/03/21,03:12:59",1,W,38,27,36
DeviceB,"21/03/21,03:19:34",0,NW,25,95,62
DeviceB,"21/03/21,03:26:09",1,W,13,39,30
DeviceB,"21/03/21,03:32:44",0,NW,101,6377,35
DeviceB,"21/03/21,03:39:20",8,SE,34,44,116
DeviceB,"21/03/21,03:45:55",2,SE,24,141,33
DeviceB,"21/03/21,03:52:30",3,E,33,23,63
DeviceB,"21/03/21,04:00:28",0,E,33,14,36
DeviceB,"21/03/21,04:07:04",0,E,81,20,8
DeviceB,"21/03/21,04:13:39",2,NW,29,37,60
DeviceB,"21/03/21,04:20:14",3,W,20,37,75
DeviceB,"21/03/21,04:26:50",0,W,28,28,87
DeviceB,"21/03/21,04:33:25",2,W,7,8,41
DeviceB,"21/03/21,04:40:00",1,W,20,51,56
DeviceB,"21/03/21,04:46:36",3,SW,51,35,17
DeviceB,"21/03/21,04:53:11",16,NW,47,15,125
DeviceB,"21/03/21,04:59:46",1,N,20,51,72
DeviceB,"21/03/21,05:06:22",1,N,13,46,23
DeviceB,"21/03/21,05:12:57",1,SW,7,87,77
DeviceB,"21/03/21,05:19:33",9,S,68,25,19
DeviceB,"21/03/21,05:26:08",0,SE,33,20,47
DeviceB,"21/03/21,05:34:06",3,E,62,16,18
DeviceB,"21/03/21,05:40:42",0,W,22,17,7
DeviceB,"21/03/21,05:47:17",0,E,26,41,12
DeviceB,"21/03/21,05:53:53",0,E,24,28,15
DeviceB,"21/03/21,06:00:28",2,W,28,30,39
DeviceB,"21/03/21,06:07:03",1,NW,37,46,6203
DeviceB,"21/03/21,06:13:39",6,W,23,10,134
DeviceB,"21/03/21,06:20:14",2,W,11,7,40
DeviceB,"21/03/21,06:26:50",9,W,98,23,217
DeviceB,"21/03/21,06:33:25",1,W,35,34,19
DeviceB,"21/03/21,06:40:01",1,W,18,22,167
DeviceB,"21/03/21,06:46:36",3,E,13,30,64
DeviceB,"21/03/21,06:53:12",2,SE,5,11,47
DeviceB,"21/03/21,06:59:47",3,NW,57,46,32
DeviceB,"21/03/21,07:07:45",0,S,30,6196,96
DeviceB,"21/03/21,07:14:21",0,W,7,38,13
DeviceB,"21/03/21,07:20:57",6,NW,114,50,67
DeviceB,"21/03/21,07:27:32",1,E,20,8,57
DeviceB,"21/03/21,07:34:08",3,E,61,18,64
DeviceB,"21/03/21,07:40:43",3,NW,94,15,44
DeviceB,"21/03/21,07:47:19",1,W,35,23,26
DeviceB,"21/03/21,07:53:54",1,SW,30,32,67
DeviceB,"21/03/21,08:00:30",0,NE,15,33,52
DeviceB,"21/03/21,08:07:06",3,E,71,18,6234
DeviceB,"21/03/21,08:13:41",2,W,30,77,8
DeviceB,"21/03/21,08:20:17",2,E,19,15,25
DeviceB,"21/03/21,08:26:52",2,NW,6143,83,21
DeviceB,"21/03/21,08:33:28",1,W,23,66,10
DeviceB,"21/03/21,08:41:26",4,W,19,16,10
DeviceB,"21/03/21,08:48:02",3,W,24,32,112
DeviceB,"21/03/21,08:54:37",1,W,20,45,37
DeviceB,"21/03/21,09:01:13",4,N,75,42,8
DeviceB,"21/03/21,09:07:48",3,W,26,32,21
DeviceB,"21/03/21,09:14:24",8,E,23,40,2
DeviceB,"21/03/21,09:20:59",0,S,32,31,35
DeviceB,"21/03/21,09:27:35",7,NW,121,29,16
DeviceB,"21/03/21,09:34:11",1,W,25,0,57
DeviceB,"21/03/21,09:40:46",8,W,20,20,0
DeviceB,"21/03/21,09:47:22",0,SE,38,25,66
DeviceB,"21/03/21,09:53:57",7,S,19,22,50
DeviceB,"21/03/21,10:00:33",9,NW,23,53,34
DeviceB,"21/03/21,10:07:08",2,NW,6,115,76
DeviceB,"21/03/21,10:15:06",7,SW,40,81,52
DeviceB,"21/03/21,10:21:42",1,NW,12,26,15
DeviceB,"21/03/21,10:28:17",0,NW,49,0,13
DeviceB,"21/03/21,10:34:53",1,NW,82,6337,70
DeviceB,"21/03/21,10:41:28",3,SW,38,17,130
DeviceB,"21/03/21,10:48:04",3,E,29,48,203
DeviceB,"21/03/21,10:54:39",1,SE,7,80,37
DeviceB,"21/03/21,11:01:15",1,W,38,8,11
DeviceB,"21/03/21,11:07:50",1,SE,16,38,21
DeviceB,"21/03/21,11:14:26",15,W,22,29,0
DeviceB,"21/03/21,11:21:01",0,W,68,32,68
DeviceB,"21/03/21,11:27:37",3,W,12,13,0
DeviceB,"21/03/21,11:34:12",2,W,19,46,24
DeviceB,"21/03/21,11:40:48",1,NW,20,6242,44
DeviceB,"21/03/21,11:48:46",4,W,22,28,201
DeviceB,"21/03/21,11:55:21",3,W,18,31,43
DeviceB,"21/03/21,12:01:56",0,W,27,16,64
DeviceB,"21/03/21,12:08:32",12,W,21,40,21
DeviceB,"21/03/21,12:15:07",2,W,21,36,183
DeviceB,"21/03/21,12:21:43",6,S,37,35,154
DeviceB,"21/03/21,12:28:18",2,SE,52,123,84
DeviceB,"21/03/21,12:34:53",0,W,21,31,107
DeviceB,"21/03/21,12:41:29",1,W,48,17,6
DeviceB,"21/03/21,12:48:04",2,W,26,31,39
DeviceB,"21/03/21,12:54:39",3,N,14,10,30
DeviceB,"21/03/21,13:01:14",1,W,53,7,59
DeviceB,"21/03/21,13:07:50",3,W,60,6,29
DeviceB,"21/03/21,13:14:25",1,SE,38,109,25
DeviceB,"21/03/21,13:22:23",0,E,28,48,36
DeviceB,"21/03/21,13:28:58",2,W,23,22,6083
DeviceB,"21/03/21,13:35:33",7,SW,58,32,53
DeviceB,"21/03/21,13:42:08",3,S,0,33,43
DeviceB,"21/03/21,13:48:44",1,W,19,58,17
DeviceB,"21/03/21,13:55:19",0,W,24,34,17
DeviceB,"21/03/21,14:01:54",6,NW,14,106,7
DeviceB,"21/03/21,14:08:29",1,SE,24,42,45
DeviceB,"21/03/21,14:15:05",0,NW,21,11,55
