device,t,w,h,p1,p25,p10
DeviceA,"21/03/23,12:31:04",6,E,23,21,33
DeviceA,"21/03/23,12:37:39",3,SE,11,0,22
DeviceA,"21/03/23,12:45:37",3,W,8,34,35
DeviceA,"21/03/23,12:52:12",1,NE,16,27,9
DeviceA,"21/03/23,12:58:47",2,W,7,6,40
DeviceA,"21/03/23,14:25:44",1,S,12,20,21
DeviceA,"21/03/23,14:38:54",3,W,18,30,20
DeviceA,"21/03/23,14:58:38",1,NW,7,25,42
DeviceA,"21/03/23,15:05:13",2,W,12,7,34
DeviceA,"21/03/23,15:24:58",0,W,23,23,8
DeviceA,"21/03/23,19:52:20",3,E,15,7,40
DeviceA,"21/03/23,19:58:55",2,SE,21,4,15
DeviceA,"21/03/23,20:05:29",3,E,23,21,42
DeviceA,"21/03/23,20:12:04",1,W,14,20,31
DeviceA,"21/03/23,20:18:39",2,W,18,31,20
DeviceA,"21/03/23,20:25:14",1,W,5,32,22
DeviceA,"21/03/23,20:33:11",4,E,23,16,11
DeviceA,"21/03/23,20:39:46",15,SW,25,37,27
DeviceA,"21/03/23,20:46:21",0,W,16,37,8
DeviceA,"21/03/23,20:52:55",1,W,28,6,27
DeviceA,"21/03/23,20:59:30",12,SW,12,28,19
DeviceA,"21/03/23,21:06:05",2,W,25,11,23
DeviceA,"21/03/23,21:12:40",9,W,17,26,12
DeviceA,"21/03/23,21:19:14",1,W,25,20,42
DeviceA,"21/03/23,21:25:49",4,SW,15,24,0
DeviceA,"21/03/23,21:32:24",0,N,7,26,22
DeviceA,"21/03/23,21:38:59",3,SW,14,21,0
DeviceA,"21/03/23,21:45:33",1,W,12,37,10
DeviceA,"21/03/23,21:52:08",0,NW,13,26,44
DeviceA,"21/03/23,21:58:43",0,SE,5,35,39
DeviceA,"21/03/23,22:13:15",1,E,11,6,24
DeviceA,"21/03/23,22:19:50",2,W,8,0,8
DeviceA,"21/03/23,22:26:25",1,SE,0,7,39
DeviceA,"21/03/23,22:32:59",1,E,20,39,6
DeviceA,"21/03/23,22:39:34",7,W,11,3,40
DeviceA,"21/03/23,22:46:09",0,NE,15,17,44
DeviceA,"21/03/23,22:52:44",0,W,11,21,21
DeviceA,"21/03/23,22:59:18",6,W,5,28,21
DeviceA,"21/03/23,23:05:53",14,S,27,26,25
DeviceA,"21/03/23,23:12:28",1,S,26,28,11
DeviceA,"21/03/23,23:19:03",1,S,17,17,47
DeviceA,"21/03/23,23:25:37",1,W,15,4,48
DeviceA,"21/03/23,23:32:12",0,SW,14,27,39
DeviceA,"21/03/23,23:40:09",2,SE,25,22,6
DeviceA,"21/03/23,23:53:19",4,W,16,31,46
DeviceA,"21/03/24,07:54:14",6,E,25,31,47
DeviceA,"21/03/24,08:14:00",1,SW,2,31,35
DeviceA,"21/03/24,08:40:22",4,W,24,16,19
DeviceA,"21/03/24,08:46:57",7,NW,19,23,18
DeviceA,"21/03/24,09:01:31",4,S,17,12,13
DeviceA,"21/03/24,09:08:06",0,W,23,10,35
DeviceA,"21/03/24,09:14:41",2,W,22,23,20
DeviceA,"21/03/24,09:21:17",2,SW,12,24,2
DeviceA,"21/03/24,09:34:28",9,W,7,39,39
DeviceA,"21/03/24,09:54:14",3,SW,19,22,13
DeviceA,"21/03/24,10:07:25",4,SW,23,0,27
DeviceA,"21/03/24,10:20:35",0,SE,17,31,14
DeviceA,"21/03/24,10:27:11",1,W,21,8,9
DeviceA,"21/03/24,10:35:09",2,W,11,26,36
DeviceA,"21/03/24,10:41:44",3,W,28,35,7
DeviceA,"21/03/24,10:48:19",9,N,11,17,28
DeviceA,"21/03/24,11:03:16",4,W,21,31,25
DeviceA,"21/03/24,11:10:30",1,E,13,6,23
DeviceA,"21/03/24,11:30:16",0,W,26,10,21
DeviceA,"21/03/24,11:36:51",3,W,20,20,41
DeviceA,"21/03/24,11:43:26",1,E,0,34,46
DeviceA,"21/03/24,11:50:02",0,E,0,26,42
DeviceA,"21/03/24,11:56:37",0,W,2,29,13
DeviceA,"21/03/24,12:03:12",32,NW,4,30,45
DeviceA,"21/03/24,12:09:47",1,W,15,20,41
DeviceA,"21/03/24,12:16:23",1,NW,17,34,35
DeviceA,"21/03/24,12:22:58",4,SW,28,38,33
DeviceA,"21/03/24,12:29:33",1,W,16,40,37
DeviceA,"21/03/24,12:37:31",2,SW,5,9,9
DeviceA,"21/03/24,12:50:41",0,SW,24,12,22
DeviceA,"21/03/24,12:57:16",2,N,19,18,25
DeviceA,"21/03/24,13:03:51",4,W,11,19,34
DeviceA,"21/03/24,13:10:27",12,E,14,16,46
DeviceA,"21/03/24,13:23:37",0,NE,21,34,29
DeviceA,"21/03/24,14:03:07",7,W,7,6,46
DeviceA,"21/03/24,14:17:40",2,W,25,29,49
DeviceA,"21/03/24,14:30:50",4,E,7,33,31
DeviceA,"21/03/24,14:37:25",1,W,11,9,20
DeviceA,"21/03/24,14:57:10",0,NW,26,0,23
DeviceA,"21/03/24,15:03:45",4,W,25,22,44
DeviceA,"21/03/24,15:10:20",4,E,21,16,41
DeviceA,"21/03/24,15:23:30",1,SW,19,7,11
DeviceA,"21/03/24,15:44:38",26,W,2,24,20
DeviceA,"21/03/24,16:04:23",6,W,21,21,23
DeviceA,"21/03/24,16:10:58",2,NW,25,30,25
DeviceA,"21/03/24,17:24:45",2,W,13,36,28
DeviceA,"21/03/24,18:10:49",2,W,18,37,48
DeviceA,"21/03/24,18:23:59",4,S,7,21,25
DeviceA,"21/03/24,19:11:26",10,W,21,12,27
DeviceA,"21/03/24,19:31:10",14,W,21,13,18
DeviceA,"21/03/24,19:37:45",4,S,12,8,7
DeviceA,"21/03/24,19:50:55",1,SW,21,27,47
DeviceA,"21/03/25,04:58:43",7,SW,19,3,16
DeviceA,"21/03/25,05:05:18",2,W,8,11,30
DeviceA,"21/03/25,05:11:53",2,E,32,31,48
DeviceA,"21/03/25,05:18:28",1,SE,13,21,16
DeviceA,"21/03/25,05:46:11",1,W,19,23,11
DeviceA,"21/03/25,05:52:46",1,E,22,9,16
DeviceA,"21/03/25,05:59:21",2,S,21,14,41
DeviceA,"21/03/25,06:05:56",6,NW,15,7,10
DeviceA,"21/03/25,06:12:31",0,SE,13,0,14
DeviceA,"21/03/25,06:19:06",1,NW,0,40,7
DeviceA,"21/03/25,06:25:41",1,W,0,35,48
DeviceA,"21/03/25,06:32:17",3,E,7,32,33
DeviceA,"21/03/25,06:38:52",2,NW,9,26,38
DeviceA,"21/03/25,06:45:27",2,NW,17,16,25
DeviceA,"21/03/25,06:52:02",3,NW,24,39,26
DeviceA,"21/03/25,06:58:37",0,W,20,40,8
DeviceA,"21/03/25,07:05:12",1,SE,29,26,5
DeviceA,"21/03/25,07:11:47",2,W,21,15,12
DeviceA,"21/03/25,07:19:45",0,W,21,31,9
DeviceA,"21/03/25,07:26:20",10,W,7,17,48
DeviceA,"21/03/25,07:32:55",4,SE,19,7,18
DeviceA,"21/03/25,07:39:31",8,E,17,26,23
DeviceA,"21/03/25,07:46:06",2,NW,4,28,41
DeviceA,"21/03/25,07:52:41",7,W,12,26,28
DeviceA,"21/03/25,07:59:16",3,W,19,33,27
DeviceA,"21/03/25,08:05:52",2,NW,17,10,39
DeviceA,"21/03/25,08:12:27",6,W,27,25,32
DeviceA,"21/03/25,08:19:02",2,SE,6,28,28
DeviceA,"21/03/25,08:25:37",4,NW,25,24,28
DeviceA,"21/03/25,08:32:12",1,W,26,26,41
DeviceA,"21/03/25,08:38:48",12,S,7,30,25
DeviceA,"21/03/25,08:45:23",3,SE,24,28,40
DeviceA,"21/03/25,08:53:21",7,E,17,21,38
DeviceA,"21/03/25,08:59:56",1,E,22,12,42
DeviceA,"21/03/25,09:06:31",4,SW,19,13,0
DeviceA,"21/03/25,09:13:06",2,W,12,5,37
DeviceA,"21/03/25,09:19:41",1,W,24,20,25
DeviceA,"21/03/25,09:26:17",4,SE,13,18,0
DeviceA,"21/03/25,09:32:52",2,W,10,21,23
DeviceA,"21/03/25,09:39:27",2,NW,19,12,31
DeviceA,"21/03/25,09:46:02",0,W,13,12,33
DeviceA,"21/03/25,09:52:37",2,SW,15,0,39
DeviceA,"21/03/25,09:59:12",1,SW,2,9,32
DeviceA,"21/03/25,10:05:47",2,E,21,0,40
DeviceA,"21/03/25,10:13:00",0,E,18,20,30
DeviceA,"21/03/25,10:19:35",6,S,10,23,47
DeviceA,"21/03/25,10:26:10",1,SW,13,31,19
DeviceA,"21/03/25,10:32:45",2,E,8,26,41
DeviceA,"21/03/25,10:39:21",0,W,18,20,45
DeviceA,"21/03/25,10:45:57",20,W,21,0,19
DeviceA,"21/03/25,10:52:32",6,SW,12,27,24
DeviceA,"21/03/25,10:59:07",3,E,21,6,40
DeviceA,"21/03/25,11:05:42",2,W,13,24,13
DeviceA,"21/03/25,11:12:17",3,W,9,18,33
DeviceA,"21/03/25,11:18:52",3,NW,14,28,35
DeviceA,"21/03/25,11:25:27",1,SW,10,12,32
DeviceA,"21/03/25,11:32:03",2,S,7,22,9
DeviceA,"21/03/25,11:40:00",3,E,19,28,44
DeviceA,"21/03/25,11:46:35",0,SE,14,24,42
DeviceA,"21/03/25,11:53:10",2,SW,12,17,36
DeviceA,"21/03/25,11:59:46",0,W,24,19,28
DeviceA,"21/03/25,12:06:21",13,SE,0,37,18
DeviceA,"21/03/25,12:12:56",4,SE,15,36,43
DeviceA,"21/03/25,12:19:31",0,W,14,30,11
DeviceA,"21/03/25,12:26:06",3,NW,28,26,4
DeviceA,"21/03/25,12:32:41",3,W,17,29,19
DeviceA,"21/03/25,12:39:16",2,N,19,14,38
DeviceA,"21/03/25,12:45:51",2,W,21,27,45
DeviceA,"21/03/25,12:52:26",1,W,21,22,8
DeviceA,"21/03/25,12:59:01",2,W,24,13,17
DeviceA,"21/03/25,13:05:36",2,SE,21,36,22
DeviceA,"21/03/25,13:13:33",4,NW,17,23,28
DeviceA,"21/03/25,13:20:08",1,W,28,35,9
DeviceA,"21/03/25,13:26:43",0,W,23,11,23
DeviceA,"21/03/25,13:33:18",0,W,6,31,19
DeviceA,"21/03/25,13:39:53",2,NW,20,9,28
DeviceA,"21/03/25,13:46:28",2,NW,11,9,12
DeviceA,"21/03/25,13:53:03",0,W,6,19,48
DeviceA,"21/03/25,13:59:38",4,NE,12,11,32
DeviceA,"21/03/25,14:12:47",1,NW,19,25,34
DeviceA,"21/03/25,14:19:22",10,NW,12,21,12
DeviceA,"21/03/25,14:25:57",3,NW,20,12,36
DeviceA,"21/03/25,14:32:32",2,NW,30,6,30
DeviceA,"21/03/25,14:39:07",9,W,0,8,6
DeviceA,"21/03/26,07:27:52",1,W,10,7,9
DeviceA,"21/03/26,07:34:27",1,W,12,20,10
DeviceA,"21/03/26,07:41:02",3,NW,22,9,30
DeviceA,"21/03/26,08:02:10",2,W,20,32,25
DeviceA,"21/03/26,08:08:46",0,W,19,12,43
DeviceA,"21/03/26,08:15:21",2,W,16,15,19
DeviceA,"21/03/26,08:21:56",9,NW,16,21,23
DeviceA,"21/03/26,08:28:32",3,SE,21,5,31
DeviceA,"21/03/26,08:35:07",3,SW,15,28,49
DeviceA,"21/03/26,08:41:42",3,NW,7,20,26
DeviceA,"21/03/26,08:48:17",10,SE,23,13,21
DeviceA,"21/03/26,08:54:53",2,W,24,9,18
DeviceA,"21/03/26,09:01:28",1,SW,14,32,28
DeviceA,"21/03/26,09:08:03",1,S,21,32,24
DeviceA,"21/03/26,09:14:39",21,W,4,37,10
DeviceA,"21/03/26,09:21:14",4,W,20,14,13
DeviceA,"21/03/26,09:29:12",2,W,4,8,32
DeviceA,"21/03/26,09:35:47",3,SW,26,10,20
DeviceA,"21/03/26,09:42:23",6,SW,6,37,42
DeviceA,"21/03/26,09:48:58",18,NW,25,20,9
DeviceA,"21/03/26,09:55:33",9,SW,10,24,19
DeviceA,"21/03/26,10:02:09",2,E,24,5,47
DeviceA,"21/03/26,10:08:44",2,W,10,10,26
DeviceA,"21/03/26,10:15:19",1,E,12,18,22
DeviceA,"21/03/26,10:21:54",0,W,20,21,39
DeviceA,"21/03/26,10:28:30",2,W,20,23,48
DeviceA,"21/03/26,10:35:05",7,E,28,6,28
DeviceA,"21/03/26,10:41:40",3,W,15,34,11
DeviceA,"21/03/26,10:48:16",1,W,16,22,14
DeviceA,"21/03/26,10:54:51",0,NW,4,4,9
DeviceA,"21/03/26,11:02:49",0,W,24,39,28
DeviceA,"21/03/26,11:09:24",1,W,19,31,48
DeviceA,"21/03/26,11:15:59",0,W,19,27,39
DeviceA,"21/03/26,11:22:35",15,SE,7,34,48
DeviceA,"21/03/26,11:29:10",7,W,12,17,2
DeviceA,"21/03/26,11:35:45",1,W,4,29,48
DeviceA,"21/03/26,11:42:20",0,NW,29,6,8
DeviceA,"21/03/26,11:48:56",2,SE,13,4,5
DeviceA,"21/03/26,11:55:31",7,W,22,15,34
DeviceA,"21/03/26,12:02:06",7,W,17,8,30
DeviceA,"21/03/26,12:08:41",0,W,26,29,23
DeviceA,"21/03/26,12:15:17",3,SW,21,26,49
DeviceA,"21/03/26,12:21:52",4,E,6,26,6
DeviceA,"21/03/26,12:28:27",0,W,9,41,0
DeviceA,"21/03/26,12:36:25",8,SE,3,11,33
DeviceA,"21/03/26,12:43:00",1,W,12,15,10
DeviceA,"21/03/26,12:49:35",1,SW,19,33,25
DeviceA,"21/03/26,12:56:10",0,W,10,37,0
DeviceA,"21/03/26,13:02:45",2,SW,9,25,10
DeviceA,"21/03/26,13:09:21",0,SW,21,30,47
DeviceA,"21/03/26,13:15:56",1,E,13,25,23
DeviceA,"21/03/26,13:22:31",0,SW,32,40,24
DeviceA,"21/03/26,13:35:41",7,W,14,21,19
DeviceA,"21/03/26,13:42:16",2,S,6,14,47
DeviceA,"21/03/26,13:48:51",0,W,29,7,29
DeviceA,"21/03/26,14:02:01",13,W,6,20,26
DeviceA,"21/03/26,14:09:59",8,W,23,23,34
DeviceA,"21/03/26,14:16:34",3,NW,8,22,39
DeviceA,"21/03/27,06:47:14",7,NE,21,17,40
DeviceA,"21/03/27,06:53:55",7,NW,16,4,26
DeviceA,"21/03/27,07:00:37",3,NW,20,35,29
DeviceA,"21/03/27,07:07:18",0,W,0,33,27
DeviceA,"21/03/27,07:20:41",3,W,17,10,0
DeviceA,"21/03/27,07:47:27",3,W,12,12,21
DeviceA,"21/03/27,07:54:08",7,SE,6,28,17
DeviceA,"21/03/27,08:02:13",3,W,17,17,22
DeviceA,"21/03/27,08:08:54",3,NW,21,28,18
DeviceA,"21/03/27,08:15:36",2,W,11,22,49
DeviceA,"21/03/27,08:22:17",1,W,12,4,16
DeviceA,"21/03/27,08:28:59",0,NW,19,8,22
DeviceA,"21/03/27,08:35:40",3,SE,0,17,29
DeviceA,"21/03/27,08:42:22",4,W,4,29,40
DeviceA,"21/03/27,08:49:03",6,N,6,16,32
DeviceA,"21/03/27,08:55:45",0,NW,20,17,32
DeviceA,"21/03/27,09:02:26",10,W,3,29,23
DeviceA,"21/03/27,09:09:08",1,NW,17,0,40
DeviceA,"21/03/27,09:15:49",0,N,17,18,22
DeviceA,"21/03/27,09:22:31",2,SE,8,29,47
DeviceA,"21/03/27,09:29:12",3,SW,11,9,26
DeviceA,"21/03/27,09:37:17",4,W,5,27,17
DeviceA,"21/03/27,09:43:58",0,W,26,14,39
DeviceA,"21/03/27,09:50:40",1,NW,25,16,16
DeviceA,"21/03/27,09:57:21",4,E,18,25,47
DeviceA,"21/03/27,10:04:03",2,W,27,7,11
DeviceA,"21/03/27,10:10:44",2,NW,21,34,35
DeviceA,"21/03/27,10:17:26",4,W,6,35,7
DeviceA,"21/03/27,10:24:08",1,NW,14,16,16
DeviceA,"21/03/27,10:37:31",2,W,20,22,39
DeviceA,"21/03/27,10:44:12",3,W,20,40,37
DeviceA,"21/03/27,11:12:21",3,SE,8,11,0
DeviceA,"21/03/27,11:19:02",4,W,21,25,0
DeviceA,"21/03/27,11:25:44",2,SE,9,21,43
DeviceA,"21/03/27,11:32:25",1,W,20,33,26
DeviceA,"21/03/27,11:39:07",6,W,22,32,14
DeviceA,"21/03/27,11:45:48",2,W,18,38,10
DeviceA,"21/03/27,11:52:30",2,SW,21,0,7
DeviceA,"21/03/27,11:59:11",2,W,9,32,35
DeviceA,"21/03/27,12:05:53",2,E,21,29,41
DeviceA,"21/03/27,12:12:34",2,W,20,28,28
DeviceA,"21/03/27,12:19:15",1,W,6,29,15
DeviceA,"21/03/27,12:25:57",0,SW,18,15,17
DeviceA,"21/03/27,12:47:23",9,S,22,13,29
DeviceA,"21/03/27,12:54:05",2,NW,20,26,45
DeviceA,"21/03/28,05:39:34",0,E,19,30,22
DeviceA,"21/03/28,05:46:09",2,W,0,24,38
DeviceA,"21/03/28,05:52:45",0,W,18,25,19
DeviceA,"21/03/28,05:59:20",4,W,17,31,26
DeviceA,"21/03/28,06:46:52",2,W,24,35,47
DeviceA,"21/03/28,06:53:28",1,NE,20,27,25
DeviceA,"21/03/28,07:06:39",2,NW,12,11,16
DeviceA,"21/03/28,07:13:14",2,SW,19,33,27
DeviceA,"21/03/28,07:19:50",2,SW,14,38,21
DeviceA,"21/03/28,07:26:26",1,S,9,0,37
DeviceA,"21/03/28,07:33:01",0,NW,7,0,28
DeviceA,"21/03/28,07:39:37",13,W,17,17,49
DeviceA,"21/03/28,07:47:35",2,W,23,30,47
DeviceA,"21/03/28,07:54:11",8,W,11,9,19
DeviceA,"21/03/28,08:00:46",1,W,11,22,33
DeviceA,"21/03/28,08:07:22",1,SE,23,29,21
DeviceA,"21/03/28,08:13:58",1,W,27,0,49
DeviceA,"21/03/28,08:20:33",1,W,21,12,33
DeviceA,"21/03/28,08:33:45",1,W,15,33,46
DeviceA,"21/03/28,08:40:20",1,SW,9,25,45
DeviceA,"21/03/28,08:46:56",6,W,23,12,30
DeviceA,"21/03/28,08:53:32",8,S,6,19,43
DeviceA,"21/03/28,09:00:07",1,N,16,38,32
DeviceA,"21/03/28,09:06:43",6,NW,26,16,9
DeviceA,"21/03/28,09:13:19",0,SE,10,15,30
DeviceA,"21/03/28,09:21:17",0,E,22,33,42
DeviceA,"21/03/28,09:27:53",2,W,0,12,18
DeviceA,"21/03/28,09:34:29",2,NE,11,41,35
DeviceA,"21/03/28,09:41:04",15,SW,18,13,17
DeviceA,"21/03/28,09:47:40",3,E,3,6,43
DeviceA,"21/03/28,09:54:16",3,SW,21,33,21
DeviceA,"21/03/28,10:00:51",4,NW,17,15,40
DeviceA,"21/03/28,10:07:27",6,W,14,15,11
DeviceA,"21/03/28,10:20:38",2,W,8,7,33
DeviceA,"21/03/28,10:33:49",7,W,17,7,21
DeviceA,"21/03/28,10:54:59",3,NW,9,9,22
DeviceA,"21/03/28,11:14:46",0,W,26,34,9
DeviceA,"21/03/28,11:21:21",1,W,22,9,16
DeviceA,"21/03/28,11:27:57",2,NW,19,8,13
DeviceA,"21/03/28,11:34:33",0,NW,12,3,16
DeviceA,"21/03/28,11:41:08",2,W,24,6,15
DeviceA,"21/03/28,11:47:44",1,W,4,13,6
DeviceA,"21/03/28,11:54:19",0,SW,7,16,19
DeviceA,"21/03/28,12:00:55",1,W,11,16,8
DeviceA,"21/03/28,12:07:30",1,E,22,36,15
DeviceA,"21/03/28,12:14:06",3,W,17,20,33
DeviceA,"21/03/28,12:20:41",0,NW,16,28,27
DeviceA,"21/03/28,12:28:40",0,SE,25,36,25
DeviceA,"21/03/28,12:35:15",2,NW,7,37,16
DeviceA,"21/03/28,12:41:50",6,W,25,34,29
DeviceA,"21/03/28,12:48:26",1,W,18,30,20
DeviceA,"21/03/28,12:55:01",1,N,13,23,8
DeviceA,"21/03/28,13:01:37",2,W,6,18,42
DeviceA,"21/03/28,13:34:34",1,W,21,31,0
DeviceA,"21/03/29,05:38:03",2,SE,11,33,22
DeviceA,"21/03/29,05:44:38",6,S,15,42,34
DeviceA,"21/03/29,05:51:14",2,NW,22,12,24
DeviceA,"21/03/29,05:57:49",2,S,24,8,6
DeviceA,"21/03/29,06:04:25",1,NW,26,16,9
DeviceA,"21/03/29,06:11:01",14,NW,25,25,14
DeviceA,"21/03/29,06:17:36",7,SW,5,18,31
DeviceA,"21/03/29,06:24:12",3,NW,15,10,7
DeviceA,"21/03/29,06:30:47",1,E,15,12,25
DeviceA,"21/03/29,06:37:23",1,SW,13,34,48
DeviceA,"21/03/29,06:43:58",4,SW,7,7,8
DeviceA,"21/03/29,06:50:34",4,W,7,35,19
DeviceA,"21/03/29,06:57:10",2,W,28,0,28
DeviceA,"21/03/29,07:03:45",1,SW,27,32,10
DeviceA,"21/03/29,07:11:44",3,W,21,21,31
DeviceA,"21/03/29,07:18:19",1,W,10,20,44
DeviceA,"21/03/29,07:24:55",0,W,18,37,37
DeviceA,"21/03/29,07:31:30",2,SE,15,18,43
DeviceA,"21/03/29,07:38:06",3,W,22,27,13
DeviceA,"21/03/29,07:44:42",2,W,28,5,49
DeviceA,"21/03/29,07:51:17",19,SW,19,11,19
DeviceA,"21/03/29,07:57:53",0,W,29,19,11
DeviceA,"21/03/29,08:04:29",2,W,8,12,12
DeviceA,"21/03/29,08:11:04",0,NW,6,38,39
DeviceA,"21/03/29,08:17:40",8,NE,14,39,15
DeviceA,"21/03/29,08:24:16",2,SW,27,24,28
DeviceA,"21/03/29,08:30:51",3,NW,33,7,23
DeviceA,"21/03/29,08:37:27",10,W,8,10,33
DeviceA,"21/03/29,08:45:25",4,W,6,33,19
DeviceA,"21/03/29,08:58:37",8,S,9,13,39
DeviceA,"21/03/29,09:05:13",3,E,24,24,47
DeviceA,"21/03/29,09:11:48",3,E,17,15,16
DeviceA,"21/03/29,09:18:24",1,SE,17,13,45
DeviceA,"21/03/29,09:25:00",0,W,14,17,30
DeviceA,"21/03/29,09:31:36",3,W,21,22,26
DeviceA,"21/03/29,09:38:11",0,W,25,16,39
DeviceA,"21/03/29,09:44:47",2,W,27,18,17
DeviceA,"21/03/29,09:51:23",1,SW,3,16,7
DeviceA,"21/03/29,09:57:59",0,E,26,38,48
DeviceA,"21/03/29,10:04:34",0,E,29,17,30
DeviceA,"21/03/29,10:11:10",0,W,26,26,37
DeviceA,"21/03/29,10:19:09",9,S,12,23,10
DeviceA,"21/03/29,10:25:44",1,W,19,27,16
DeviceA,"21/03/29,10:32:20",1,S,13,14,40
DeviceA,"21/03/29,10:38:55",1,W,22,31,47
DeviceA,"21/03/29,10:45:31",1,SW,22,22,35
DeviceA,"21/03/29,10:52:07",1,NE,24,8,24
DeviceA,"21/03/29,10:58:42",1,W,13,25,12
DeviceA,"21/03/29,11:05:18",1,SE,15,29,16
DeviceA,"21/03/29,11:11:54",2,W,18,32,31
DeviceA,"21/03/29,11:25:05",2,W,5,8,43
DeviceA,"21/03/29,11:31:41",1,W,10,18,30
DeviceA,"21/03/29,11:38:16",15,S,21,27,48
